form	lemma	POS	morph
༄༅། །		PUNCT
བཀའ་	བཀའ་	NOUN
བསྡུ་	བསྡུ་	VERB
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
དོན་	དོན་	NOUN
བསྟན་རྩིས་	བསྟན་རྩིས་	OTHER
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
གུ་རུ་	གུ་རུ་	PROPN
བུདྡྷ་བོ་	བུདྡྷ་བོ་	NON_WORD
དྷི་		NON_WORD
སཏྭ་		NON_WORD
བྷྱོ་		NON_WORD
ན་མོ་	ན་མོ་	X
ན་	ལ་	PART
མཿ་		NON_WORD
དོན་དམ་	དོན་དམ་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
། །		PUNCT
གཙང་	གཙང་	PROPN
བདག་	བདག་	PRON
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྟག་པ་	རྟག་པ་	VERB
འི་	གི་	PART
མཐར་ཐུག་པ་	མཐར་ཐུག་པ་	NOUN
། །		PUNCT
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ན་	ནས་	PART
། །		PUNCT
དུས་བཞི་	དུས་བཞི་	NO_POS
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
རབ་	རབ་	ADV
དབྱེ་	དབྱེ་	VERB
རབ་	རབ་	ADV
བཤད་	བཤད་	VERB
བྱ་	བྱ་	VERB
། །		PUNCT
དུས་བཞི་	དུས་བཞི་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
བསྐལ་	བསྐལ་	NO_POS
དུས་བཟང་	དུས་བཟང་	NOUN
ངན་	ངན་	VERB
ཏེ་	སྟེ་	PART
། །		PUNCT
དུས་བཞི་	དུས་བཞི་	NO_POS
ཆུང་བ་	ཆུང་བ་	VERB
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
བཟང་ངན་	བཟང་ངན་	ADJ
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
ལོ་	གོ་	PART
ནི་	ནི་	NO_POS
ས་ཡ་	ས་ཡ་	NUM
ཕྲག་	ཕྲག་	NUM
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
། །		PUNCT
སུམ་	སུམ་	NUM
འབུམ་	འབུམ་	NUM
ཉི་ཁྲི་	ཉི་ཁྲི་	OTHER
འོ་	གོ་	PART
དེ་	སྟེ་	PART
